Timestamp_Beijing,HR,GSR
'2026-03-13 15:31:25,65,79
'2026-03-13 15:31:25,65,78
'2026-03-13 15:31:26,65,77
'2026-03-13 15:31:26,66,76
'2026-03-13 15:31:26,66,76
'2026-03-13 15:31:26,66,74
'2026-03-13 15:31:26,66,73
'2026-03-13 15:31:27,66,72
'2026-03-13 15:31:27,66,73
'2026-03-13 15:31:27,66,72
'2026-03-13 15:31:27,66,72
'2026-03-13 15:31:27,66,71
'2026-03-13 15:31:28,66,73
'2026-03-13 15:31:28,66,74
'2026-03-13 15:31:28,66,74
'2026-03-13 15:31:28,66,73
'2026-03-13 15:31:28,67,75
'2026-03-13 15:31:29,67,75
'2026-03-13 15:31:29,67,75
'2026-03-13 15:31:29,67,74
'2026-03-13 15:31:29,67,75
'2026-03-13 15:31:29,67,77
'2026-03-13 15:31:30,67,76
'2026-03-13 15:31:30,67,74
'2026-03-13 15:31:30,67,75
'2026-03-13 15:31:30,67,76
'2026-03-13 15:31:30,67,77
'2026-03-13 15:31:31,67,76
'2026-03-13 15:31:31,67,77
'2026-03-13 15:31:31,67,77
'2026-03-13 15:31:31,67,77
'2026-03-13 15:31:31,67,77
'2026-03-13 15:31:32,67,77
'2026-03-13 15:31:32,68,77
'2026-03-13 15:31:32,68,77
'2026-03-13 15:31:32,68,76
'2026-03-13 15:31:32,68,77
'2026-03-13 15:31:33,68,77
'2026-03-13 15:31:33,69,78
'2026-03-13 15:31:33,69,77
'2026-03-13 15:31:33,69,77
'2026-03-13 15:31:34,69,78
'2026-03-13 15:31:34,68,78
'2026-03-13 15:31:34,68,77
'2026-03-13 15:31:34,68,77
'2026-03-13 15:31:34,68,78
'2026-03-13 15:31:35,68,77
'2026-03-13 15:31:35,68,76
'2026-03-13 15:31:35,68,75
'2026-03-13 15:31:35,68,75
'2026-03-13 15:31:35,69,74
'2026-03-13 15:31:36,69,74
'2026-03-13 15:31:36,69,74
'2026-03-13 15:31:36,69,74
'2026-03-13 15:31:36,68,74
'2026-03-13 15:31:36,68,76
'2026-03-13 15:31:37,68,76
'2026-03-13 15:31:37,68,76
'2026-03-13 15:31:37,68,75
'2026-03-13 15:31:37,68,76
'2026-03-13 15:31:37,66,78
'2026-03-13 15:31:38,66,77
'2026-03-13 15:31:38,66,76
'2026-03-13 15:31:38,66,77
'2026-03-13 15:31:38,67,78
'2026-03-13 15:31:38,67,77
'2026-03-13 15:31:39,67,77
'2026-03-13 15:31:39,67,77
'2026-03-13 15:31:39,67,78
'2026-03-13 15:31:39,67,79
'2026-03-13 15:31:39,67,77
'2026-03-13 15:31:40,67,78
'2026-03-13 15:31:40,67,79
'2026-03-13 15:31:40,66,78
'2026-03-13 15:31:40,66,78
'2026-03-13 15:31:41,66,78
'2026-03-13 15:31:41,66,79
'2026-03-13 15:31:41,66,78
'2026-03-13 15:31:41,65,79
'2026-03-13 15:31:41,65,79
'2026-03-13 15:31:42,65,79
'2026-03-13 15:31:42,65,78
'2026-03-13 15:31:42,65,79
'2026-03-13 15:31:42,65,80
'2026-03-13 15:31:42,65,79
'2026-03-13 15:31:43,65,79
'2026-03-13 15:31:43,65,79
'2026-03-13 15:31:43,65,81
'2026-03-13 15:31:43,65,80
'2026-03-13 15:31:43,65,80
'2026-03-13 15:31:44,65,80
'2026-03-13 15:31:44,64,81
'2026-03-13 15:31:44,64,80
'2026-03-13 15:31:44,64,79
'2026-03-13 15:31:44,64,80
'2026-03-13 15:31:45,65,81
'2026-03-13 15:31:45,65,81
'2026-03-13 15:31:45,68,80
'2026-03-13 15:31:45,68,80
'2026-03-13 15:31:45,68,81
'2026-03-13 15:31:46,72,81
'2026-03-13 15:31:46,72,80
'2026-03-13 15:31:46,77,81
'2026-03-13 15:31:46,77,81
'2026-03-13 15:31:46,81,80
'2026-03-13 15:31:47,81,80
'2026-03-13 15:31:47,89,80
'2026-03-13 15:31:47,89,81
'2026-03-13 15:31:47,89,80
'2026-03-13 15:31:48,93,81
'2026-03-13 15:31:48,93,81
'2026-03-13 15:31:48,102,81
'2026-03-13 15:31:48,102,80
'2026-03-13 15:31:48,102,81
'2026-03-13 15:31:49,107,81
'2026-03-13 15:31:49,107,81
'2026-03-13 15:31:49,117,81
'2026-03-13 15:31:49,117,81
'2026-03-13 15:31:49,117,82
'2026-03-13 15:31:50,121,82
'2026-03-13 15:31:50,124,80
'2026-03-13 15:31:50,124,81
'2026-03-13 15:31:50,124,80
'2026-03-13 15:31:50,126,80
'2026-03-13 15:31:51,128,76
'2026-03-13 15:31:51,128,73
'2026-03-13 15:31:51,128,71
'2026-03-13 15:31:51,129,69
